,inicio,varinicio,varfim,PT_V,ID,VIR,INT,REAL,LIT,leia,escreva,NUM,RCB,OPM,se,AB_P,FC_P,entao,OPR,fimse,facaate,fimfaca,fim,EOF,P,V,LV,D,L,TIPO,A,ES,ARG,CMD,LD,OPRD,COND,CAB,EXP_R,CP,R,CP_R
0,S2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,ACC,,,,,,,,,,,,,,,,,,
2,,S4,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,
3,,,,,S13,,,,,S11,S12,,,,S16,,,,,,S15,,S10,,,,,,,,5,6,,7,,,8,14,,,9,
4,,,S19,,S21,,,,,,,,,,,,,,,,,,,,,,17,18,20,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,R2,,,,,,,,,,,,,,,,,,
6,,,,,S13,,,,,S11,S12,,,,S16,,,,,,S15,,S10,,,,,,,,22,6,,7,,,8,14,,,9,
7,,,,,S13,,,,,S11,S12,,,,S16,,,,,,S15,,S10,,,,,,,,23,6,,7,,,8,14,,,9,
8,,,,,S13,,,,,S11,S12,,,,S16,,,,,,S15,,S10,,,,,,,,24,6,,7,,,8,14,,,9,
9,,,,,S13,,,,,S11,S12,,,,S16,,,,,,S15,,S10,,,,,,,,25,6,,7,,,8,14,,,9,
10,,,,,,,,,,,,,,,,,,,,,,,,R38,,,,,,,,,,,,,,,,,,
11,,,,,S26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,S30,,,,S28,,,S29,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,
13,,,,,,,,,,,,,S31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,S13,,,,,S11,S12,,,,S16,,,,,S36,,,,,,,,,,,,33,,34,,,35,14,,32,,
15,,,,,,,,,,,,,,,,S37,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,S38,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,R3,,,,,R3,R3,,,,R3,,,,,,R3,,R3,,,,,,,,,,,,,,,,,,,
18,,,S19,,S21,,,,,,,,,,,,,,,,,,,,,,39,18,20,,,,,,,,,,,,,
19,,,,S40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,S42,S43,S44,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,
21,,,,,,S45,R8,R8,R8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,R12,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,R18,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,R24,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,R32,,,,,,,,,,,,,,,,,,
26,,,,S46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,S47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,R15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,R16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,R17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,S50,,,,,,,S51,,,,,,,,,,,,,,,,,,,,,,,48,49,,,,,,
32,,,,,R25,,,,,R25,R25,,,,R25,,,,,R25,R25,R25,R25,,,,,,,,,,,,,,,,,,,
33,,,,,S13,,,,,S11,S12,,,,S16,,,,,S36,,,,,,,,,,,,33,,34,,,35,14,,52,,
34,,,,,S13,,,,,S11,S12,,,,S16,,,,,S36,,,,,,,,,,,,33,,34,,,35,14,,53,,
35,,,,,S13,,,,,S11,S12,,,,S16,,,,,S36,,,,,,,,,,,,33,,34,,,35,14,,54,,
36,,,,,R31,,,,,R31,R31,,,,R31,,,,,R31,R31,R31,R31,,,,,,,,,,,,,,,,,,,
37,,,,,S50,,,,,,,S51,,,,,,,,,,,,,,,,,,,,,,,,56,,,55,,,
38,,,,,S50,,,,,,,S51,,,,,,,,,,,,,,,,,,,,,,,,56,,,57,,,
39,,,,,R4,,,,,R4,R4,,,,R4,,,,,,R4,,R4,,,,,,,,,,,,,,,,,,,
40,,,,,R5,,,,,R5,R5,,,,R5,,,,,,R5,,R5,,,,,,,,,,,,,,,,,,,
41,,,,S58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,R9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,R10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,R11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,S21,,,,,,,,,,,,,,,,,,,,,,,,59,,,,,,,,,,,,,
46,,,,,R13,,,,,R13,R13,,,,R13,,,,,R13,R13,R13,R13,,,,,,,,,,,,,,,,,,,
47,,,,,R14,,,,,R14,R14,,,,R14,,,,,R14,R14,R14,R14,,,,,,,,,,,,,,,,,,,
48,,,,S60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,R21,,,,,,,,,,S61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,R22,,,,,,,,,,R22,,,R22,,R22,,,,,,,,,,,,,,,,,,,,,,,
51,,,,R23,,,,,,,,,,R23,,,R23,,R23,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,R28,,,,,R28,R28,,,,R28,,,,,R28,R28,R28,R28,,,,,,,,,,,,,,,,,,,
53,,,,,R29,,,,,R29,R29,,,,R29,,,,,R29,R29,R29,R29,,,,,,,,,,,,,,,,,,,
54,,,,,R30,,,,,R30,R30,,,,R30,,,,,R30,R30,R30,R30,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,S62,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,S63,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,S64,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,R6,,R6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,R7,R7,R7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,R19,,,,,R19,R19,,,,R19,,,,,R19,R19,R19,R19,,,,,,,,,,,,,,,,,,,
61,,,,,S50,,,,,,,S51,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,
62,,,,,S13,,,,,S11,S12,,,,S16,,,,,,,S70,,,,,,,,,,67,,68,,,69,14,,,,66
63,,,,,S50,,,,,,,S51,,,,,,,,,,,,,,,,,,,,,,,,71,,,,,,
64,,,,,,,,,,,,,,,,,,S72,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,R20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,R33,,,,,R33,R33,,,,R33,,,,,,R33,,R33,,,,,,,,,,,,,,,,,,,
67,,,,,S13,,,,,S11,S12,,,,S16,,,,,,,S70,,,,,,,,,,67,,68,,,69,14,,,,73
68,,,,,S13,,,,,S11,S12,,,,S16,,,,,,,S70,,,,,,,,,,67,,68,,,69,14,,,,74
69,,,,,S13,,,,,S11,S12,,,,S16,,,,,,,S70,,,,,,,,,,67,,68,,,69,14,,,,75
70,,,,,R37,,,,,R37,R37,,,,R37,,,,,,R37,,R37,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,R27,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,R26,,,,,R26,R26,,,,,,,,,R26,,,,,,,,,,,,,,,,,,,,,,
73,,,,,R34,,,,,R34,R34,,,,R34,,,,,,R34,,R34,,,,,,,,,,,,,,,,,,,
74,,,,,R35,,,,,R35,R35,,,,R35,,,,,,R35,,R35,,,,,,,,,,,,,,,,,,,
75,,,,,R36,,,,,R36,R36,,,,R36,,,,,,R36,,R36,,,,,,,,,,,,,,,,,,,
